371	1745	120	g
372	1815	120	g
373	1845	120	g
374	1915	120	g
375	1945	120
376	2015	120	g
377	2045	120	g
378	2115	120	g
379	2145	120	g
380	2215	120	g
381	2245	120	g
382	2315	120	g
383	2345	120	g
# 22:30 hr quickie group (complete)
384	2235	30	g
385	2240	30
386	2250	30	g
387	2255	30
388	2230	25	g
#389	2235	30 Check this one
389	2235	25	S
390	2240	25	g
391	2245	25	g
392	2250	25	g
393	2255	25	g
394	2230	20	g
395	2235	20	g
396	2240	20	g
397	2245	20	g
398	2250	20
399	2255	20	g
400	2230	15	g
401	2235	15	g
402	2240	15
403	2245	15	g
404	2250	15
405	2255	15	g
406	2230	10	g
407	2235	10	g
408	2240	10	g
409	2245	10	g
410	2250	10	g
411	2255	10	g
412	2230	5	g
413	2235	5	g
414	2240	5	g
415	2245	5	g
416	2250	5	g
417	2255	5	g
# 23:00 hr quickie group (complete)
418	2305	30	g
419	2310	30
420	2320	30
421	2325	30	g
422	2300	25	g
423	2305	25	g
424	2310	25	g
425	2315	25	g
426	2320	25	g
427	2325	25	g
428	2300	20
429	2305	20
430	2310	20
431	2315	20	g
432	2320	20	g
433	2325	20	g
434	2300	15
435	2305	15	g
436	2310	15	g
437	2315	15	g
438	2320	15	g
439	2325	15
440	2300	10	g
441	2305	10	g
442	2310	10	g
443	2315	10	g
444	2320	10	g
445	2325	10	g
446	2300	5	g
447	2305	5	g
448	2310	5	g
449	2315	5
450	2320	5	g
451	2325	5
# 23:30 hr quickie group (complete)
452	2335	30	g
453	2340	30	g
454	2350	30
455	2355	30
456	2330	25
457	2335	25	g
458	2340	25	g
459	2345	25	g
460	2350	25	g
461	2355	25	g
462	2330	20
463	2335	20	g
464	2340	20	g
465	2345	20	g
466	2350	20	g
467	2355	20	g
468	2330	15	g
469	2335	15	g
470	2340	15	g
471	2345	15	g
472	2350	15
473	2355	15	g
474	2330	10	g
475	2335	10	g
476	2340	10	g
477	2345	10	g
478	2350	10	g
479	2355	10	g
480	2330	5	g
481	2335	5	g
482	2340	5	g
483	2345	5	g
484	2350	5	g
485	2355	5	g
# 19:30 hr longie group (complete)
486	1935	90	g
487	1940	90	g
488	1950	90	g
489	1955	90	g
490	1930	85
491	1935	85	g
492	1940	85	g
493	1945	85	g
494	1950	85	g
495	1955	85	g
496	1930	80	g
497	1935	80	g
498	1940	80	g
499	1945	80	g
500	1950	80	g
501	1955	80	g
502	1930	75	g
503	1935	75	g
504	1940	75	g
505	1945	75	g
506	1950	75	g
507	1955	75	g
508	1930	70	g
509	1935	70	g
510	1940	70	g
511	1945	70	g
512	1950	70	g
513	1955	70	g
514	1930	65	g
515	1935	65	g
516	1940	65	g
517	1945	65	g
518	1950	65	g
519	1955	65	g
# 23:00 hr longie group (complete)
520	2305	90	g
521	2310	90	g
522	2320	90	g
523	2325	90	g
524	2300	85	g
525	2305	85	g
526	2310	85	g
527	2315	85	g
528	2320	85	g
529	2325	85	g
530	2300	80	g
531	2305	80	g
532	2310	80	g
533	2315	80	g
534	2320	80	g
535	2325	80	g
536	2300	75	g
537	2305	75	g
538	2310	75	g
539	2315	75	g
540	2320	75	g
541	2325	75	g
542	2300	70	g
543	2305	70	g
544	2310	70	g
545	2315	70	g
546	2320	70	g
547	2325	70	g
548	2300	65
549	2305	65
550	2310	65	g
551	2315	65	g
552	2320	65	g
553	2325	65	g
# 23:30 hr longie group (complete)
554	2335	90
555	2340	90
556	2350	90	g
557	2355	90	g
558	2330	85	g
559	2335	85
560	2340	85	g
561	2345	85	g
562	2350	85	g
563	2355	85	g
564	2330	80	g
565	2335	80	g
566	2340	80	g
567	2345	80	g
568	2350	80
569	2355	80	g
