date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:13	5338386/5338386	---M--	200	added ('OK')	application/mac-binhex40	etag:%22517512-315059e00bc00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/PGP50Freeware.hqx	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/PGP50Freeware.hqx	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/)
11:35:13	356748/356748	---M--	200	added ('OK')	application/x-gzip	etag:%225718c-2f1e4ac5c7800%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp-2.6.3i-1.i386.rpm.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp-2.6.3i-1.i386.rpm.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:13	603046/603046	---M--	200	added ('OK')	application/x-gzip	etag:%22933a6-2f1e4ac5c7800%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp-2.6.3i-1.src.rpm.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp-2.6.3i-1.src.rpm.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:13	7546/7546	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:14%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/?C=M;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/indexf8a0.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/)
11:35:14	514/514	---M--	200	added ('OK')	application/x-gzip	etag:%22202-2e92c928d7c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp.patch.linux.elf.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp.patch.linux.elf.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:14	7546/7546	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:14%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/?C=N;O=D	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/indexc052.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/)
11:35:14	7546/7546	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:15%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/?C=S;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/indexbfec.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/)
11:35:14	5559/5559	---M--	200	added ('OK')	application/x-gzip	etag:%2215b7-2ef1150a69c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp263i.patch.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp263i.patch.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:16	454192/454192	---M--	200	added ('OK')	application/x-gzip	etag:%226ee30-2c5434d131c00%22	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp23A.tar.gz	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/pgp23A.tar.gz	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/unix/)
11:35:20	7546/7546	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:15%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/?C=D;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/index30b5.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/mac/)
11:35:20	2978/2978	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:15%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/?C=N;O=D	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/indexc052.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
11:35:20	2978/2978	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202024%2010:35:15%20GMT	https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/?C=M;O=A	D:/My%20Web%20Sites/test/ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/indexf8a0.html	(from https://ftp.arnes.si/packages/crypto-tools/ftp.ox.ac.uk/pgp/OLD/pc/)
